ADC_bits,DAC_bits,Accuracy,Accuracy_Drop
2,2,9.64,2.539999999999999
2,4,12.379999999999999,-0.1999999999999993
2,6,12.26,-0.08000000000000007
2,8,12.24,-0.0600000000000005
4,2,9.78,2.4000000000000004
4,4,11.24,0.9399999999999995
4,6,12.18,0.0
4,8,12.559999999999999,-0.379999999999999
6,2,9.42,2.76
6,4,10.58,1.5999999999999996
6,6,12.34,-0.16000000000000014
6,8,12.36,-0.17999999999999972
8,2,9.64,2.539999999999999
8,4,10.52,1.6600000000000001
8,6,12.139999999999999,0.040000000000000924
8,8,12.32,-0.14000000000000057
