Dataset,Crossbar_Size,Device_Model,Num_Classes,Accuracy_Day0,Accuracy_Day30,Baseline_Acc,Degradation_Day0,Degradation_Day30
CIFAR-10,512×512,IdealDevice,10,6.4399999999999995,8.7,6.4399999999999995,0.0,-2.26
CIFAR-10,512×512,ECRAMMilo,10,9.54,10.059999999999999,6.4399999999999995,-3.0999999999999996,-3.619999999999999
CIFAR-10,256×256,IdealDevice,10,6.4399999999999995,9.74,6.4399999999999995,0.0,-3.3000000000000007
CIFAR-10,256×256,ECRAMMilo,10,8.88,10.74,6.4399999999999995,-2.4400000000000013,-4.300000000000001
CIFAR-10,128×128,IdealDevice,10,6.4399999999999995,8.64,6.4399999999999995,0.0,-2.200000000000001
CIFAR-10,128×128,ECRAMMilo,10,9.22,10.16,6.4399999999999995,-2.780000000000001,-3.7200000000000006
CIFAR-10,64×64,IdealDevice,10,6.4399999999999995,8.36,6.4399999999999995,0.0,-1.92
CIFAR-10,64×64,ECRAMMilo,10,10.12,9.959999999999999,6.4399999999999995,-3.6799999999999997,-3.5199999999999996
CIFAR-100,512×512,IdealDevice,100,1.3,1.08,1.28,-0.020000000000000018,0.19999999999999996
CIFAR-100,512×512,ECRAMMilo,100,1.28,1.26,1.28,0.0,0.020000000000000018
CIFAR-100,256×256,IdealDevice,100,1.3,0.8,1.28,-0.020000000000000018,0.48
CIFAR-100,256×256,ECRAMMilo,100,1.48,1.02,1.28,-0.19999999999999996,0.26
CIFAR-100,128×128,IdealDevice,100,1.3,0.9400000000000001,1.28,-0.020000000000000018,0.33999999999999997
CIFAR-100,128×128,ECRAMMilo,100,1.02,0.9400000000000001,1.28,0.26,0.33999999999999997
CIFAR-100,64×64,IdealDevice,100,1.3,0.86,1.28,-0.020000000000000018,0.42000000000000004
CIFAR-100,64×64,ECRAMMilo,100,1.2,0.8999999999999999,1.28,0.08000000000000007,0.3800000000000001
ImageNet,512×512,IdealDevice,10,12.44,10.780000000000001,12.379999999999999,-0.0600000000000005,1.5999999999999979
ImageNet,512×512,ECRAMMilo,10,12.24,11.14,12.379999999999999,0.1399999999999988,1.2399999999999984
ImageNet,256×256,IdealDevice,10,12.44,10.26,12.379999999999999,-0.0600000000000005,2.119999999999999
ImageNet,256×256,ECRAMMilo,10,12.139999999999999,10.5,12.379999999999999,0.2400000000000002,1.879999999999999
ImageNet,128×128,IdealDevice,10,12.44,11.06,12.379999999999999,-0.0600000000000005,1.3199999999999985
ImageNet,128×128,ECRAMMilo,10,12.64,11.1,12.379999999999999,-0.26000000000000156,1.2799999999999994
ImageNet,64×64,IdealDevice,10,12.44,10.02,12.379999999999999,-0.0600000000000005,2.3599999999999994
ImageNet,64×64,ECRAMMilo,10,12.32,10.780000000000001,12.379999999999999,0.05999999999999872,1.5999999999999979
