Dataset,ADC_bits,DAC_bits,Baseline_Acc,Accuracy,Accuracy_Drop
CIFAR-10,4,4,14.12,13.66,0.4599999999999991
CIFAR-10,4,6,14.12,14.219999999999999,-0.09999999999999964
CIFAR-10,4,8,14.12,14.12,0.0
CIFAR-10,6,4,14.12,13.819999999999999,0.3000000000000007
CIFAR-10,6,6,14.12,14.24,-0.120000000000001
CIFAR-10,6,8,14.12,14.26,-0.14000000000000057
CIFAR-10,8,4,14.12,13.819999999999999,0.3000000000000007
CIFAR-10,8,6,14.12,14.299999999999999,-0.17999999999999972
CIFAR-10,8,8,14.12,14.000000000000002,0.11999999999999744
CIFAR-100,4,4,0.76,0.84,-0.07999999999999996
CIFAR-100,4,6,0.76,0.96,-0.19999999999999996
CIFAR-100,4,8,0.76,0.9199999999999999,-0.15999999999999992
CIFAR-100,6,4,0.76,0.84,-0.07999999999999996
CIFAR-100,6,6,0.76,0.7000000000000001,0.05999999999999994
CIFAR-100,6,8,0.76,0.8,-0.040000000000000036
CIFAR-100,8,4,0.76,0.86,-0.09999999999999998
CIFAR-100,8,6,0.76,0.7000000000000001,0.05999999999999994
CIFAR-100,8,8,0.76,0.76,0.0
ImageNet,4,4,8.36,6.84,1.5199999999999996
ImageNet,4,6,8.36,7.140000000000001,1.2199999999999989
ImageNet,4,8,8.36,7.8,0.5599999999999996
ImageNet,6,4,8.36,7.199999999999999,1.1600000000000001
ImageNet,6,6,8.36,7.3999999999999995,0.96
ImageNet,6,8,8.36,8.14,0.21999999999999886
ImageNet,8,4,8.36,7.32,1.0399999999999991
ImageNet,8,6,8.36,7.48,0.879999999999999
ImageNet,8,8,8.36,8.28,0.08000000000000007
