Layer,N_operations,E_array_J,E_ADC_J,E_DAC_J,E_accum_J,E_control_J,E_buffer_J,E_interconnect_J,E_layer_J,Latency_ns
conv1,18816,9.408e-13,1.6e-12,1.28e-12,4.704e-12,1.9104e-13,1.9104e-13,1.9104e-13,9.097920000000002e-12,272.0
layer1.0.conv1,8192,4.096e-13,1.6e-12,1.28e-12,2.048e-12,1.6448000000000002e-13,1.6448000000000002e-13,1.6448000000000002e-13,5.831039999999999e-12,272.0
layer1.0.conv2,73728,3.6864e-12,1.6e-12,2.56e-12,1.8432000000000002e-11,3.9232000000000004e-13,3.9232000000000004e-13,3.9232000000000004e-13,2.745536e-11,272.0
layer1.0.conv3,32768,1.6384e-12,1.6e-12,1.28e-12,8.192e-12,2.2592e-13,2.2592e-13,2.2592e-13,1.3388160000000003e-11,272.0
layer1.0.downsample.0,32768,1.6384e-12,1.6e-12,1.28e-12,8.192e-12,2.2592e-13,2.2592e-13,2.2592e-13,1.3388160000000003e-11,272.0
layer1.1.conv1,32768,1.6384e-12,1.6e-12,1.28e-12,8.192e-12,2.2592e-13,2.2592e-13,2.2592e-13,1.3388160000000003e-11,272.0
layer1.1.conv2,73728,3.6864e-12,1.6e-12,2.56e-12,1.8432000000000002e-11,3.9232000000000004e-13,3.9232000000000004e-13,3.9232000000000004e-13,2.745536e-11,272.0
layer1.1.conv3,32768,1.6384e-12,1.6e-12,1.28e-12,8.192e-12,2.2592e-13,2.2592e-13,2.2592e-13,1.3388160000000003e-11,272.0
layer1.2.conv1,32768,1.6384e-12,1.6e-12,1.28e-12,8.192e-12,2.2592e-13,2.2592e-13,2.2592e-13,1.3388160000000003e-11,272.0
layer1.2.conv2,73728,3.6864e-12,1.6e-12,2.56e-12,1.8432000000000002e-11,3.9232000000000004e-13,3.9232000000000004e-13,3.9232000000000004e-13,2.745536e-11,272.0
layer1.2.conv3,32768,1.6384e-12,1.6e-12,1.28e-12,8.192e-12,2.2592e-13,2.2592e-13,2.2592e-13,1.3388160000000003e-11,272.0
layer2.0.conv1,65536,3.2768e-12,1.6e-12,1.28e-12,1.6384e-11,3.0784000000000003e-13,3.0784000000000003e-13,3.0784000000000003e-13,2.346432e-11,272.0
layer2.0.conv2,294912,1.47456e-11,1.6e-12,3.84e-12,7.372800000000001e-11,1.0092800000000001e-12,1.0092800000000001e-12,1.0092800000000001e-12,9.694144000000002e-11,272.0
layer2.0.conv3,131072,6.5536e-12,1.6e-12,1.28e-12,3.2768e-11,4.7168e-13,4.7168e-13,4.7168e-13,4.361664e-11,272.0
layer2.0.downsample.0,262144,1.31072e-11,1.6e-12,1.28e-12,6.5536e-11,7.9936e-13,7.9936e-13,7.9936e-13,8.392128000000002e-11,272.0
layer2.1.conv1,131072,6.5536e-12,1.6e-12,1.28e-12,3.2768e-11,4.7168e-13,4.7168e-13,4.7168e-13,4.361664e-11,272.0
layer2.1.conv2,294912,1.47456e-11,1.6e-12,3.84e-12,7.372800000000001e-11,1.0092800000000001e-12,1.0092800000000001e-12,1.0092800000000001e-12,9.694144000000002e-11,272.0
layer2.1.conv3,131072,6.5536e-12,1.6e-12,1.28e-12,3.2768e-11,4.7168e-13,4.7168e-13,4.7168e-13,4.361664e-11,272.0
layer2.2.conv1,131072,6.5536e-12,1.6e-12,1.28e-12,3.2768e-11,4.7168e-13,4.7168e-13,4.7168e-13,4.361664e-11,272.0
layer2.2.conv2,294912,1.47456e-11,1.6e-12,3.84e-12,7.372800000000001e-11,1.0092800000000001e-12,1.0092800000000001e-12,1.0092800000000001e-12,9.694144000000002e-11,272.0
layer2.2.conv3,131072,6.5536e-12,1.6e-12,1.28e-12,3.2768e-11,4.7168e-13,4.7168e-13,4.7168e-13,4.361664e-11,272.0
layer2.3.conv1,131072,6.5536e-12,1.6e-12,1.28e-12,3.2768e-11,4.7168e-13,4.7168e-13,4.7168e-13,4.361664e-11,272.0
layer2.3.conv2,294912,1.47456e-11,1.6e-12,3.84e-12,7.372800000000001e-11,1.0092800000000001e-12,1.0092800000000001e-12,1.0092800000000001e-12,9.694144000000002e-11,272.0
layer2.3.conv3,131072,6.5536e-12,1.6e-12,1.28e-12,3.2768e-11,4.7168e-13,4.7168e-13,4.7168e-13,4.361664e-11,272.0
layer3.0.conv1,262144,1.31072e-11,1.6e-12,1.28e-12,6.5536e-11,7.9936e-13,7.9936e-13,7.9936e-13,8.392128000000002e-11,272.0
layer3.0.conv2,1179648,5.89824e-11,1.6e-12,6.4e-12,2.9491200000000004e-10,3.34912e-12,3.34912e-12,3.34912e-12,3.7194176000000004e-10,272.0
layer3.0.conv3,524288,2.62144e-11,3.2e-12,2.56e-12,1.31072e-10,1.59872e-12,1.59872e-12,1.59872e-12,1.6784256000000004e-10,272.0
layer3.0.downsample.0,1048576,5.24288e-11,3.2e-12,2.56e-12,2.62144e-10,2.90944e-12,2.90944e-12,2.90944e-12,3.2906111999999997e-10,272.0
layer3.1.conv1,524288,2.62144e-11,1.6e-12,2.56e-12,1.31072e-10,1.5187200000000002e-12,1.5187200000000002e-12,1.5187200000000002e-12,1.6600256e-10,272.0
layer3.1.conv2,1179648,5.89824e-11,1.6e-12,6.4e-12,2.9491200000000004e-10,3.34912e-12,3.34912e-12,3.34912e-12,3.7194176000000004e-10,272.0
layer3.1.conv3,524288,2.62144e-11,3.2e-12,2.56e-12,1.31072e-10,1.59872e-12,1.59872e-12,1.59872e-12,1.6784256000000004e-10,272.0
layer3.2.conv1,524288,2.62144e-11,1.6e-12,2.56e-12,1.31072e-10,1.5187200000000002e-12,1.5187200000000002e-12,1.5187200000000002e-12,1.6600256e-10,272.0
layer3.2.conv2,1179648,5.89824e-11,1.6e-12,6.4e-12,2.9491200000000004e-10,3.34912e-12,3.34912e-12,3.34912e-12,3.7194176000000004e-10,272.0
layer3.2.conv3,524288,2.62144e-11,3.2e-12,2.56e-12,1.31072e-10,1.59872e-12,1.59872e-12,1.59872e-12,1.6784256000000004e-10,272.0
layer3.3.conv1,524288,2.62144e-11,1.6e-12,2.56e-12,1.31072e-10,1.5187200000000002e-12,1.5187200000000002e-12,1.5187200000000002e-12,1.6600256e-10,272.0
layer3.3.conv2,1179648,5.89824e-11,1.6e-12,6.4e-12,2.9491200000000004e-10,3.34912e-12,3.34912e-12,3.34912e-12,3.7194176000000004e-10,272.0
layer3.3.conv3,524288,2.62144e-11,3.2e-12,2.56e-12,1.31072e-10,1.59872e-12,1.59872e-12,1.59872e-12,1.6784256000000004e-10,272.0
layer3.4.conv1,524288,2.62144e-11,1.6e-12,2.56e-12,1.31072e-10,1.5187200000000002e-12,1.5187200000000002e-12,1.5187200000000002e-12,1.6600256e-10,272.0
layer3.4.conv2,1179648,5.89824e-11,1.6e-12,6.4e-12,2.9491200000000004e-10,3.34912e-12,3.34912e-12,3.34912e-12,3.7194176000000004e-10,272.0
layer3.4.conv3,524288,2.62144e-11,3.2e-12,2.56e-12,1.31072e-10,1.59872e-12,1.59872e-12,1.59872e-12,1.6784256000000004e-10,272.0
layer3.5.conv1,524288,2.62144e-11,1.6e-12,2.56e-12,1.31072e-10,1.5187200000000002e-12,1.5187200000000002e-12,1.5187200000000002e-12,1.6600256e-10,272.0
layer3.5.conv2,1179648,5.89824e-11,1.6e-12,6.4e-12,2.9491200000000004e-10,3.34912e-12,3.34912e-12,3.34912e-12,3.7194176000000004e-10,272.0
layer3.5.conv3,524288,2.62144e-11,3.2e-12,2.56e-12,1.31072e-10,1.59872e-12,1.59872e-12,1.59872e-12,1.6784256000000004e-10,272.0
layer4.0.conv1,1048576,5.24288e-11,1.6e-12,2.56e-12,2.62144e-10,2.82944e-12,2.82944e-12,2.82944e-12,3.2722112000000006e-10,272.0
layer4.0.conv2,4718592,2.359296e-10,1.6e-12,1.152e-11,1.1796480000000001e-09,1.2452480000000001e-11,1.2452480000000001e-11,1.2452480000000001e-11,1.46605504e-09,272.0
layer4.0.conv3,2097152,1.048576e-10,6.4e-12,5.12e-12,5.24288e-10,5.81888e-12,5.81888e-12,5.81888e-12,6.581222399999999e-10,272.0
layer4.0.downsample.0,4194304,2.097152e-10,6.4e-12,1.024e-11,1.048576e-09,1.131776e-11,1.131776e-11,1.131776e-11,1.3088844800000002e-09,272.0
layer4.1.conv1,2097152,1.048576e-10,1.6e-12,5.12e-12,5.24288e-10,5.5788800000000006e-12,5.5788800000000006e-12,5.5788800000000006e-12,6.5260224e-10,272.0
layer4.1.conv2,4718592,2.359296e-10,1.6e-12,1.152e-11,1.1796480000000001e-09,1.2452480000000001e-11,1.2452480000000001e-11,1.2452480000000001e-11,1.46605504e-09,272.0
layer4.1.conv3,2097152,1.048576e-10,6.4e-12,5.12e-12,5.24288e-10,5.81888e-12,5.81888e-12,5.81888e-12,6.581222399999999e-10,272.0
layer4.2.conv1,2097152,1.048576e-10,1.6e-12,5.12e-12,5.24288e-10,5.5788800000000006e-12,5.5788800000000006e-12,5.5788800000000006e-12,6.5260224e-10,272.0
