Dataset,Weight_bits,ADC_bits,DAC_bits,Baseline_Acc,Accuracy,Accuracy_Drop
CIFAR-10,2,4,4,95.17,10.0,85.17
CIFAR-10,2,4,6,95.17,10.0,85.17
CIFAR-10,2,4,8,95.17,10.0,85.17
CIFAR-10,2,6,4,95.17,10.0,85.17
CIFAR-10,2,6,6,95.17,10.0,85.17
CIFAR-10,2,6,8,95.17,10.0,85.17
CIFAR-10,2,8,4,95.17,10.0,85.17
CIFAR-10,2,8,6,95.17,10.0,85.17
CIFAR-10,2,8,8,95.17,10.0,85.17
CIFAR-10,3,4,4,95.17,11.85,83.32000000000001
CIFAR-10,3,4,6,95.17,11.899999999999999,83.27000000000001
CIFAR-10,3,4,8,95.17,11.84,83.33
CIFAR-10,3,6,4,95.17,10.059999999999999,85.11
CIFAR-10,3,6,6,95.17,10.02,85.15
CIFAR-10,3,6,8,95.17,10.03,85.14
CIFAR-10,3,8,4,95.17,10.0,85.17
CIFAR-10,3,8,6,95.17,10.0,85.17
CIFAR-10,3,8,8,95.17,10.0,85.17
CIFAR-10,4,4,4,95.17,9.76,85.41
CIFAR-10,4,4,6,95.17,9.62,85.55
CIFAR-10,4,4,8,95.17,9.59,85.58
CIFAR-10,4,6,4,95.17,9.51,85.66
CIFAR-10,4,6,6,95.17,9.47,85.7
CIFAR-10,4,6,8,95.17,9.51,85.66
CIFAR-10,4,8,4,95.17,9.75,85.42
CIFAR-10,4,8,6,95.17,9.77,85.4
CIFAR-10,4,8,8,95.17,9.8,85.37
CIFAR-10,6,4,4,95.17,10.0,85.17
CIFAR-10,6,4,6,95.17,10.0,85.17
CIFAR-10,6,4,8,95.17,10.0,85.17
CIFAR-10,6,6,4,95.17,10.0,85.17
CIFAR-10,6,6,6,95.17,10.0,85.17
CIFAR-10,6,6,8,95.17,10.0,85.17
CIFAR-10,6,8,4,95.17,10.0,85.17
CIFAR-10,6,8,6,95.17,10.0,85.17
CIFAR-10,6,8,8,95.17,10.0,85.17
CIFAR-10,8,4,4,95.17,69.78999999999999,25.38000000000001
CIFAR-10,8,4,6,95.17,80.16,15.010000000000005
CIFAR-10,8,4,8,95.17,78.29,16.879999999999995
CIFAR-10,8,6,4,95.17,70.45,24.72
CIFAR-10,8,6,6,95.17,81.06,14.11
CIFAR-10,8,6,8,95.17,79.84,15.329999999999998
CIFAR-10,8,8,4,95.17,70.48,24.689999999999998
CIFAR-10,8,8,6,95.17,81.39999999999999,13.77000000000001
CIFAR-10,8,8,8,95.17,80.07,15.100000000000009
