Layer,Type,Weight size,Crossbar size,Arrays,Input slices,Weight slices,ADC conversions,Cycles
conv1,Conv2d,9408,512x512,4,8,4,32,32
layer1.0.conv1,Conv2d,4096,512x512,4,8,4,32,32
layer1.0.conv2,Conv2d,36864,512x512,8,8,4,32,32
layer1.0.conv3,Conv2d,16384,512x512,4,8,4,32,32
layer1.0.downsample.0,Conv2d,16384,512x512,4,8,4,32,32
layer1.1.conv1,Conv2d,16384,512x512,4,8,4,32,32
layer1.1.conv2,Conv2d,36864,512x512,8,8,4,32,32
layer1.1.conv3,Conv2d,16384,512x512,4,8,4,32,32
layer1.2.conv1,Conv2d,16384,512x512,4,8,4,32,32
layer1.2.conv2,Conv2d,36864,512x512,8,8,4,32,32
layer1.2.conv3,Conv2d,16384,512x512,4,8,4,32,32
layer2.0.conv1,Conv2d,32768,512x512,4,8,4,32,32
layer2.0.conv2,Conv2d,147456,512x512,12,8,4,32,32
layer2.0.conv3,Conv2d,65536,512x512,4,8,4,32,32
layer2.0.downsample.0,Conv2d,131072,512x512,4,8,4,32,32
layer2.1.conv1,Conv2d,65536,512x512,4,8,4,32,32
layer2.1.conv2,Conv2d,147456,512x512,12,8,4,32,32
layer2.1.conv3,Conv2d,65536,512x512,4,8,4,32,32
layer2.2.conv1,Conv2d,65536,512x512,4,8,4,32,32
layer2.2.conv2,Conv2d,147456,512x512,12,8,4,32,32
layer2.2.conv3,Conv2d,65536,512x512,4,8,4,32,32
layer2.3.conv1,Conv2d,65536,512x512,4,8,4,32,32
layer2.3.conv2,Conv2d,147456,512x512,12,8,4,32,32
layer2.3.conv3,Conv2d,65536,512x512,4,8,4,32,32
layer3.0.conv1,Conv2d,131072,512x512,4,8,4,32,32
layer3.0.conv2,Conv2d,589824,512x512,20,8,4,32,32
layer3.0.conv3,Conv2d,262144,512x512,8,8,4,64,32
layer3.0.downsample.0,Conv2d,524288,512x512,8,8,4,64,32
layer3.1.conv1,Conv2d,262144,512x512,8,8,4,32,32
layer3.1.conv2,Conv2d,589824,512x512,20,8,4,32,32
layer3.1.conv3,Conv2d,262144,512x512,8,8,4,64,32
layer3.2.conv1,Conv2d,262144,512x512,8,8,4,32,32
layer3.2.conv2,Conv2d,589824,512x512,20,8,4,32,32
layer3.2.conv3,Conv2d,262144,512x512,8,8,4,64,32
layer3.3.conv1,Conv2d,262144,512x512,8,8,4,32,32
layer3.3.conv2,Conv2d,589824,512x512,20,8,4,32,32
layer3.3.conv3,Conv2d,262144,512x512,8,8,4,64,32
layer3.4.conv1,Conv2d,262144,512x512,8,8,4,32,32
layer3.4.conv2,Conv2d,589824,512x512,20,8,4,32,32
layer3.4.conv3,Conv2d,262144,512x512,8,8,4,64,32
layer3.5.conv1,Conv2d,262144,512x512,8,8,4,32,32
layer3.5.conv2,Conv2d,589824,512x512,20,8,4,32,32
layer3.5.conv3,Conv2d,262144,512x512,8,8,4,64,32
layer4.0.conv1,Conv2d,524288,512x512,8,8,4,32,32
layer4.0.conv2,Conv2d,2359296,512x512,36,8,4,32,32
layer4.0.conv3,Conv2d,1048576,512x512,16,8,4,128,32
layer4.0.downsample.0,Conv2d,2097152,512x512,32,8,4,128,32
layer4.1.conv1,Conv2d,1048576,512x512,16,8,4,32,32
layer4.1.conv2,Conv2d,2359296,512x512,36,8,4,32,32
layer4.1.conv3,Conv2d,1048576,512x512,16,8,4,128,32
layer4.2.conv1,Conv2d,1048576,512x512,16,8,4,32,32
layer4.2.conv2,Conv2d,2359296,512x512,36,8,4,32,32
layer4.2.conv3,Conv2d,1048576,512x512,16,8,4,128,32
fc,Linear,20480,512x512,16,8,4,32,32
