Sigma_G_pct,Trial,Accuracy
0.0,0,95.19999999999999
0.0,1,95.19999999999999
0.0,2,95.19999999999999
0.0,3,95.19999999999999
0.0,4,95.19999999999999
0.0,5,95.19999999999999
0.0,6,95.19999999999999
0.0,7,95.19999999999999
0.0,8,95.19999999999999
0.0,9,95.19999999999999
0.0,10,95.19999999999999
0.0,11,95.19999999999999
0.0,12,95.19999999999999
0.0,13,95.19999999999999
0.0,14,95.19999999999999
0.0,15,95.19999999999999
0.0,16,95.19999999999999
0.0,17,95.19999999999999
0.0,18,95.19999999999999
0.0,19,95.19999999999999
0.0,20,95.19999999999999
0.0,21,95.19999999999999
0.0,22,95.19999999999999
0.0,23,95.19999999999999
0.0,24,95.19999999999999
0.0,25,95.19999999999999
0.0,26,95.19999999999999
0.0,27,95.19999999999999
0.0,28,95.19999999999999
0.0,29,95.19999999999999
1.0,0,93.7
1.0,1,94.1
1.0,2,95.0
1.0,3,94.69999999999999
1.0,4,93.89999999999999
1.0,5,95.0
1.0,6,94.1
1.0,7,94.3
1.0,8,93.89999999999999
1.0,9,94.19999999999999
1.0,10,94.8
1.0,11,95.0
1.0,12,95.3
1.0,13,94.69999999999999
1.0,14,94.8
1.0,15,94.69999999999999
1.0,16,95.39999999999999
1.0,17,94.89999999999999
1.0,18,94.5
1.0,19,95.0
1.0,20,95.1
1.0,21,94.8
1.0,22,94.3
1.0,23,94.69999999999999
1.0,24,93.30000000000001
1.0,25,95.1
1.0,26,94.5
1.0,27,94.5
1.0,28,94.8
1.0,29,94.8
2.0,0,87.5
2.0,1,92.30000000000001
2.0,2,93.60000000000001
2.0,3,93.10000000000001
2.0,4,94.3
2.0,5,92.30000000000001
2.0,6,93.30000000000001
2.0,7,90.9
2.0,8,92.10000000000001
2.0,9,93.4
2.0,10,92.4
2.0,11,91.2
2.0,12,90.3
2.0,13,93.4
2.0,14,93.60000000000001
2.0,15,93.8
2.0,16,89.60000000000001
2.0,17,92.7
2.0,18,93.30000000000001
2.0,19,90.10000000000001
2.0,20,94.19999999999999
2.0,21,94.19999999999999
2.0,22,94.3
2.0,23,91.60000000000001
2.0,24,93.5
2.0,25,92.10000000000001
2.0,26,90.9
2.0,27,93.30000000000001
2.0,28,91.0
2.0,29,93.4
5.0,0,85.3
5.0,1,77.2
5.0,2,78.8
5.0,3,81.2
5.0,4,85.2
5.0,5,60.199999999999996
5.0,6,52.7
5.0,7,84.5
5.0,8,75.8
5.0,9,81.8
5.0,10,74.7
5.0,11,77.7
5.0,12,75.9
5.0,13,82.3
5.0,14,79.60000000000001
5.0,15,79.4
5.0,16,80.60000000000001
5.0,17,69.1
5.0,18,80.9
5.0,19,87.3
5.0,20,82.3
5.0,21,68.2
5.0,22,84.89999999999999
5.0,23,76.8
5.0,24,75.3
5.0,25,73.0
5.0,26,77.7
5.0,27,78.5
5.0,28,76.6
5.0,29,87.4
7.5,0,72.3
7.5,1,75.8
7.5,2,70.6
7.5,3,70.3
7.5,4,62.0
7.5,5,67.4
7.5,6,64.3
7.5,7,35.3
7.5,8,60.0
7.5,9,75.4
7.5,10,71.7
7.5,11,53.2
7.5,12,77.2
7.5,13,75.6
7.5,14,58.099999999999994
7.5,15,66.2
7.5,16,57.49999999999999
7.5,17,41.199999999999996
7.5,18,71.8
7.5,19,79.0
7.5,20,49.7
7.5,21,66.60000000000001
7.5,22,70.5
7.5,23,66.60000000000001
7.5,24,67.60000000000001
7.5,25,73.5
7.5,26,72.6
7.5,27,71.5
7.5,28,38.1
7.5,29,58.3
10.0,0,42.3
10.0,1,45.300000000000004
10.0,2,46.300000000000004
10.0,3,51.2
10.0,4,66.5
10.0,5,54.900000000000006
10.0,6,45.5
10.0,7,48.0
10.0,8,55.00000000000001
10.0,9,55.60000000000001
10.0,10,25.4
10.0,11,39.6
10.0,12,58.4
10.0,13,28.7
10.0,14,45.7
10.0,15,48.4
10.0,16,42.3
10.0,17,57.099999999999994
10.0,18,50.2
10.0,19,50.8
10.0,20,38.0
10.0,21,64.1
10.0,22,58.8
10.0,23,42.699999999999996
10.0,24,23.7
10.0,25,58.9
10.0,26,43.9
10.0,27,51.300000000000004
10.0,28,57.199999999999996
10.0,29,44.6
15.0,0,16.900000000000002
15.0,1,18.0
15.0,2,23.0
15.0,3,33.300000000000004
15.0,4,26.0
15.0,5,31.3
15.0,6,27.0
15.0,7,25.0
15.0,8,23.7
15.0,9,32.0
15.0,10,15.8
15.0,11,18.2
15.0,12,22.6
15.0,13,23.200000000000003
15.0,14,28.799999999999997
15.0,15,16.8
15.0,16,25.4
15.0,17,20.9
15.0,18,33.2
15.0,19,18.5
15.0,20,25.900000000000002
15.0,21,30.2
15.0,22,24.4
15.0,23,22.900000000000002
15.0,24,22.3
15.0,25,44.5
15.0,26,29.2
15.0,27,28.9
15.0,28,28.199999999999996
15.0,29,19.6
20.0,0,23.5
20.0,1,10.7
20.0,2,9.6
20.0,3,18.5
20.0,4,10.8
20.0,5,22.7
20.0,6,14.7
20.0,7,19.3
20.0,8,16.400000000000002
20.0,9,11.799999999999999
20.0,10,11.600000000000001
20.0,11,19.8
20.0,12,7.5
20.0,13,15.5
20.0,14,17.9
20.0,15,20.200000000000003
20.0,16,12.8
20.0,17,25.900000000000002
20.0,18,15.299999999999999
20.0,19,14.799999999999999
20.0,20,16.3
20.0,21,13.5
20.0,22,14.000000000000002
20.0,23,14.799999999999999
20.0,24,15.0
20.0,25,23.7
20.0,26,10.4
20.0,27,18.7
20.0,28,10.2
20.0,29,16.5
